id,docket_number,company_name,date_issued,year,administration,categories,violation_type,complaint_counts,legal_authority,commissioners,ftc_url,source_filename,num_provisions,num_requirements,order_duration_years,takeaway_brief,statutory_topics,practice_areas,industry_sectors,remedy_types,provision_counts_by_topic
12.02_microsoft_corporation,C-4069,Microsoft Corporation,2002-12-15,2002,G.W. Bush,Data Security; Privacy / Deceptive Privacy Practices,deceptive,Passport Security Misrepresentation; Passport Wallet Safety Misrepresentation; Passport Privacy Policy Data Collection Misrepresentation; Kids Passport Parental Control Misrepresentation,"Federal Trade Commission Act, 15 U.S.C. § 45 et seq","Timothy J. Muris, Chairman; Sheila F. Anthony; Mozelle W. Thompson; Orson Swindle; Thomas B. Leary",https://www.ftc.gov/legal-library/browse/cases-proceedings/1923258-microsoft-corporation-us-v,"12.02, Microsoft Corporation.json",8,14,20.0,Microsoft falsely claimed its Passport service used strong security measures and safe servers while failing to implement basic safeguards against unauthorized access.,Section 5 Only,Data Security; Privacy,Technology,Prohibition; Comprehensive Security Program; Third-Party Assessment; Recordkeeping; Order Administration; Compliance Monitoring,"{""Section 5 Only"": 8}"
05.03_educational_research_center_of_america_student_marketing_group_marian_sanjana_and_jan_stumacher,C-4079,"Educational Research Center of America, Inc.",2003-05-15,2003,G.W. Bush,Privacy / Deceptive Privacy Practices,deceptive,False Representation of Data Sharing — All Students; False Representation of Survey Use — Middle and Junior High School Students,"Federal Trade Commission Act, 15 U.S.C. § 45 et seq","Timothy J. Muris, Chairman; Sheila F. Anthony; Mozelle W. Thompson; Orson Swindle; Thomas B. Leary",https://www.ftc.gov/legal-library/browse/cases-proceedings/022-3249-educational-research-center-america-inc-student-marketing-group-inc-marian-sanjana-jan-stumacher,"05.03, Educational Research Center of America; Student Marketing Group; Marian Sanjana; and Jan Stumacher.json",10,20,20.0,ERCA collected personal data from millions of students under the guise of college recruitment surveys but secretly sold it to commercial marketers.,Section 5 Only,Privacy,Education,Prohibition; Consumer Notification; Data Deletion; Recordkeeping; Order Administration; Compliance Monitoring,"{""Section 5 Only"": 10}"
08.03_guess_and_guess.com,C-4091,"GUESS?, INC.",2003-08-15,2003,G.W. Bush,Data Security; Privacy / Deceptive Privacy Practices,deceptive,False Representation: Encrypted Storage of Personal Information; False Representation: Reasonable and Appropriate Security Measures,"Section 5(a) of the Federal Trade Commission Act, 15 U.S.C. § 45","Timothy J. Muris, Chairman; Sheila F. Anthony; Mozelle W. Thompson; Orson Swindle; Thomas B. Leary",https://www.ftc.gov/legal-library/browse/cases-proceedings/022-3260-guess-inc-guesscom-inc-matter,"08.03, Guess, and Guess.com.json",8,18,20.0,"GUESS? claimed its website encrypted all personal information while in reality storing data in plain text, vulnerable to well-known SQL injection attacks.",Section 5 Only,Data Security,Retail,Prohibition; Comprehensive Security Program; Third-Party Assessment; Recordkeeping; Order Administration; Compliance Monitoring,"{""Section 5 Only"": 8}"
12.03_30_minute_mortgage_gregory_p._roth_and_peter_w._stolz,03-6002 1-CIV-LENARD-SIMONTON,30 Minute Mortgage Inc.,2003-12-15,2003,G.W. Bush,Data Security; Privacy / Deceptive Privacy Practices; Gramm-Leach-Bliley,both,False Mortgage Rate Advertising; False Mortgage Lender Representation; False Data Security Representations (SSL/HTTPS); Truth in Lending Act (TILA) / Regulation Z Violations; GLB Act Privacy Rule Violations — Failure to Provide Privacy and Opt-Out Notices; GLB Act § 521 — Fraudulent Pretexting to Obtain Customer Financial Information,"Section 5(a) of the Federal Trade Commission Act, 15 U.S.C. § 45(a); Section 108(c) of the Truth in Lending Act (TILA), 15 U.S.C. § 1607(c); and Sections 505(a)(7) and 522(a) of the Gramm-Leach-Bliley Act (GLB Act), 15 U.S.C. §§ 6805(a)(7) & 6822(a)",,https://www.ftc.gov/legal-library/browse/cases-proceedings/022-3224-30-minute-mortgage-inc-gregory-p-roth-peter-w-stolz,"12.03, 30 Minute Mortgage, Gregory P. Roth, and Peter W. Stolz.json",15,38,,"30 Minute Mortgage falsely advertised low fixed-rate mortgages that did not exist, misrepresented itself as a direct lender, and falsely claimed SSL encryption protected consumer data.",GLBA,Financial Practices; Data Security; Privacy,Financial Services,Consumer Notification; Prohibition; Compliance Monitoring; Recordkeeping; Order Administration,"{""GLBA"": 15}"
02.04_umg_recordings_us,CV-04-1050 JFW (Ex),"UMG Recordings, Inc.",2004-02-15,2004,G.W. Bush,COPPA / Children's Privacy; Privacy / Deceptive Privacy Practices; Telemarketing / Do-Not-Call,deceptive,Failure to Provide Sufficient Website Notice to Parents (COPPA Rule § 312.4(b)); Failure to Provide Direct Notice to Parents (COPPA Rule § 312.4(c)); Failure to Obtain Verifiable Parental Consent (COPPA Rule § 312.5); Failure to Provide Parental Review and Deletion Mechanism (COPPA Rule § 312.6),"Sections 1303(c) and 1306(d) of the Children's Online Privacy Protection Act of 1998 (COPPA), 15 U.S.C. §§ 6501-6506, 6502(c), and 6505(d), and Sections 5(a)(1), 5(m)(1)(A), 13(b), and 16(a) of the Federal Trade Commission Act (FTC Act), 15 U.S.C. §§ 41-58, 45(a)(1), 45(m)(1)(A), 53(b), and 56(a)",,https://www.ftc.gov/legal-library/browse/cases-proceedings/umg-recordings-inc-corporation-us,"02.04, UMG Recordings, US.json",14,16,5.0,UMG Recordings collected extensive personal data from tens of thousands of children across its artist websites without adequate parental notice or verifiable parental consent.,COPPA,Privacy,Other,Prohibition; Order Administration; Consumer Redress; Monetary Penalty; Data Deletion; Compliance Monitoring; Recordkeeping,"{""COPPA"": 14}"
06.04_mts,C-4110,"MTS, Inc.",2004-06-15,2004,G.W. Bush,Data Security; Privacy / Deceptive Privacy Practices,deceptive,Deceptive Data Security Representations,"Federal Trade Commission Act, 15 U.S.C. § 45 et seq","Timothy J. Muris, Chairman; Mozelle W. Thompson; Orson Swindle; Thomas B. Leary; Pamela Jones Harbour",https://www.ftc.gov/legal-library/browse/cases-proceedings/032-3209-mts-inc-et-al-matter,"06.04, MTS.json",8,18,20.0,Tower Records exposed consumers' order and personal information online through a broken authentication flaw while falsely claiming its website was secure.,Section 5 Only,Data Security,Retail,Prohibition; Comprehensive Security Program; Third-Party Assessment; Recordkeeping; Order Administration; Compliance Monitoring,"{""Section 5 Only"": 8}"
10.04_bonzi_software,C-4126,"Bonzi Software, Inc.",2004-10-15,2004,G.W. Bush,Other,deceptive,False or Misleading Security Protection Claims,Federal Trade Commission Act,"Deborah Platt Majoras, Chairman; Orson Swindle; Thomas B. Leary; Pamela Jones Harbour; Jon Leibowitz",https://www.ftc.gov/legal-library/browse/cases-proceedings/042-3016-bonzi-software-inc,"10.04, Bonzi Software.json",10,18,20.0,Bonzi Software falsely claimed its InternetALERT security software would significantly protect computers from hackers when it could only monitor a limited number of ports.,Section 5 Only,Other,Technology,Prohibition; Monetary Penalty; Order Administration; Recordkeeping; Compliance Monitoring,"{""Section 5 Only"": 10}"
12.04_gateway_learning,C-4120,Gateway Learning Corporation,2004-12-15,2004,G.W. Bush,Privacy / Deceptive Privacy Practices; Telemarketing / Do-Not-Call,deceptive,False or Misleading Privacy Representations; Unfair Retroactive Application of Revised Privacy Policy; False or Misleading Notification Representation,"Federal Trade Commission Act, 15 U.S.C. § 45 et seq","Deborah Platt Majoras, Chairman; Orson Swindle; Thomas B. Leary; Pamela Jones Harbour; Jon Leibowitz",https://www.ftc.gov/legal-library/browse/cases-proceedings/042-3047-gateway-learning-corp-matter,"12.04, Gateway Learning.json",9,17,20.0,Gateway Learning's 'Hooked on Phonics' business rented customers' personal information to third-party marketers in violation of its own promise never to share such data.,Section 5 Only,Privacy,Education; Retail,Prohibition; Monetary Penalty; Recordkeeping; Order Administration; Compliance Monitoring,"{""Section 5 Only"": 9}"
01.05_assail,Civ. No. WA:03-CV-7,"Assail, Inc.",2005-01-15,2005,G.W. Bush,Gramm-Leach-Bliley; Telemarketing / Do-Not-Call,both,Advance-Fee Credit Card Misrepresentations (FTC Act § 5); Unauthorized Billing (FTC Act § 5 — Unfair Practices); False or Misleading Statements to Induce Payment (TSR § 310.3(a)(4)); Advance-Fee Credit — Upfront Payment After Guaranteeing Credit (TSR § 310.4(a)(4)); Misrepresentation of Refund and Cancellation Policies (TSR § 310.3(a)(2)(iv)); Failure to Disclose Identity of Seller and Purpose of Call (TSR § 310.4(d)); Gramm-Leach-Bliley Act Pretexting Violations,"Section 5 of the Federal Trade Commission Act, 15 U.S.C. § 45; Sections 13(b) and 19 of the Federal Trade Commission Act, 15 U.S.C. §§ 53(b) and 57(b); the Telemarketing and Consumer Fraud and Abuse Prevention Act, 15 U.S.C. §§ 6101 et seq.; Section 521 of the Gramm-Leach-Bliley Act, 15 U.S.C. § 6821",,https://www.ftc.gov/legal-library/browse/cases-proceedings/022-3147-assail-inc-et-al,"01.05, Assail.json",18,54,,Assail ran a telemarketing scam that swapped promised credit cards for worthless stored-value cards while making unauthorized debits from consumers' bank accounts.,TSR; GLBA,Telemarketing; Financial Practices,Financial Services,Prohibition; Monetary Penalty; Consumer Redress; Order Administration; Compliance Monitoring; Recordkeeping,"{""TSR"": 17, ""GLBA"": 17}"
01.05_sunbelt_lending_services,C-4129,"Sunbelt Lending Services, Inc.",2005-01-15,2005,G.W. Bush,Data Security; Privacy / Deceptive Privacy Practices; Gramm-Leach-Bliley,both,Violation of the Safeguards Rule; Violation of the Privacy Rule,"Section 5(a)(1) of the Federal Trade Commission Act, 15 U.S.C. § 45(a)(1); Standards for Safeguarding Customer Information Rule, 16 C.F.R. Part 314; Privacy of Consumer Financial Information Rule, 16 C.F.R. Part 313","Deborah Platt Majoras, Chairman; Orson Swindle; Thomas B. Leary; Pamela Jones Harbour; Jon Leibowitz",https://www.ftc.gov/legal-library/browse/cases-proceedings/042-3153-sunbelt-lending-services-inc-matter,"01.05, Sunbelt Lending Services.json",6,14,20.0,"Sunbelt Lending failed to implement any meaningful security or privacy protections for customers' sensitive financial information, including Social Security numbers and credit histories.",GLBA,Data Security,Financial Services,Prohibition; Third-Party Assessment; Order Administration; Compliance Monitoring,"{""GLBA"": 6}"
03.05_petco_animal_supplies_in_th_matter_of,C-4133,"PETCO ANIMAL SUPPLIES, INC.",2005-03-15,2005,G.W. Bush,Data Security; Privacy / Deceptive Privacy Practices,deceptive,False Representation of Encryption and Data Security; False Representation of Reasonable Security Measures,"Federal Trade Commission Act, 15 U.S.C. § 45 et seq","Deborah Platt Majoras, Chairman; Orson Swindle; Thomas B. Leary; Pamela Jones Harbour; Jon Leibowitz",https://www.ftc.gov/legal-library/browse/cases-proceedings/032-3221-petco-animal-supplies-inc-th-matter,"03.05, Petco Animal Supplies, In th Matter of.json",8,19,20.0,"PETCO falsely promised customers their credit card data was encrypted and completely secure, while actually storing it in unprotected clear text vulnerable to SQL injection attacks.",Section 5 Only,Data Security,Retail,Prohibition; Comprehensive Security Program; Third-Party Assessment; Recordkeeping; Order Administration; Compliance Monitoring,"{""Section 5 Only"": 8}"
04.05_nationwide_mortgage_group_and_john_d._eubank,Docket No. 9319,"Nationwide Mortgage Group, Inc.",2005-04-15,2005,G.W. Bush,Data Security; Privacy / Deceptive Privacy Practices; Gramm-Leach-Bliley,both,Violations of the Safeguards Rule; Violations of the Privacy Rule,"Section 5(a)(1) of the Federal Trade Commission Act, 15 U.S.C. § 45(a)(1), and Title V of the Gramm-Leach-Bliley Act, 15 U.S.C. § 6801 et seq.","Deborah Platt Majoras, Chairman; Orson Swindle; Thomas B. Leary; Pamela Jones Harbour; Jon Leibowitz",https://www.ftc.gov/legal-library/browse/cases-proceedings/042-3104-nationwide-mortgage-group-inc-john-d-eubank-matter,"04.05, Nationwide Mortgage Group, and John D. Eubank.json",7,13,20.0,Nationwide Mortgage Group failed to implement basic security safeguards for sensitive customer financial data and omitted required privacy notices.,GLBA,Data Security,Financial Services,Prohibition; Third-Party Assessment; Order Administration; Compliance Monitoring,"{""GLBA"": 7}"
04.05_vision_i_properties,C-4135,"Vision I Properties, LLC",2005-04-15,2005,G.W. Bush,Privacy / Deceptive Privacy Practices; Telemarketing / Do-Not-Call,unfair,Unfair Data Collection and Sharing Practices,"Section 5(a) of the Federal Trade Commission Act, 15 U.S.C. § 45(a)","Deborah Platt Majoras, Chairman; Orson Swindle; Thomas B. Leary; Pamela Jones Harbour; Jon Leibowitz",https://www.ftc.gov/legal-library/browse/cases-proceedings/042-3068-vision-i-properties-llc-et-al-matter,"04.05, Vision I Properties.json",9,15,20.0,CartManager International secretly collected consumer data through merchants' checkout pages and sold it to third-party marketers without disclosure.,Section 5 Only,Privacy,Technology,Prohibition; Monetary Penalty; Recordkeeping; Order Administration; Compliance Monitoring,"{""Section 5 Only"": 9}"
09.05_bj_s_wholesale_club,C-4148,"BJ's Wholesale Club, Inc.",2005-09-15,2005,G.W. Bush,Data Security; Privacy / Deceptive Privacy Practices,unfair,Unfair Data Security Practices,"Section 5(a) of the Federal Trade Commission Act, 15 U.S.C. § 45(a)","Deborah Platt Majoras, Chairman; Thomas B. Leary; Pamela Jones Harbour; Jon Leibowitz",https://www.ftc.gov/legal-library/browse/cases-proceedings/042-3160-bjs-wholesale-club-inc-matter,"09.05, BJ's Wholesale Club.json",7,17,20.0,"BJ's Wholesale Club stored millions of payment card records in unencrypted form without proper access controls, enabling attackers to steal consumer financial data.",Section 5 Only,Data Security,Retail,Comprehensive Security Program; Third-Party Assessment; Recordkeeping; Order Administration; Compliance Monitoring,"{""Section 5 Only"": 7}"
10.05_sun_spectrum_communications_organization,03-8110-CIV-COHN/SNOW,"Sun Spectrum Communications Organization, Inc.",2005-10-15,2005,G.W. Bush,Gramm-Leach-Bliley; Telemarketing / Do-Not-Call,both,False Promise of Unsecured Credit Card (FTC Act Section 5); Misrepresentation in Telemarketing — TSR Section 310.3(a)(2)(iii); Advance Fee Collection After Guaranteeing Credit — TSR Section 310.4(a)(4); Fraudulent Pretexting to Obtain Bank Account Information (GLB Act Section 521),"Section 5(a) of the Federal Trade Commission Act, 15 U.S.C. § 45(a); Sections 13(b) and 19 of the FTC Act, 15 U.S.C. §§ 53(b) and 57(b); Telemarketing Sales Rule, 16 C.F.R. Part 310; Section 521 of the Gramm-Leach-Bliley Act, 15 U.S.C. § 6821",,https://www.ftc.gov/legal-library/browse/cases-proceedings/032-3032-sun-spectrum-communications-organization-inc-et-al,"10.05, Sun Spectrum Communications Organization.json",18,44,,"Telemarketers falsely promised bad-credit consumers they were pre-approved for major credit cards, collected advance fees, and then never delivered the promised cards.",TSR; GLBA,Telemarketing; Financial Practices,Financial Services,Prohibition; Monetary Penalty; Consumer Redress; Order Administration; Compliance Monitoring; Recordkeeping,"{""TSR"": 17, ""GLBA"": 15}"
12.05_superior_mortgage,C-4153,Superior Mortgage Corporation,2005-12-15,2005,G.W. Bush,Data Security; Gramm-Leach-Bliley,both,Violations of the Safeguards Rule; False or Misleading SSL Encryption Representation,"Section 5(a) of the Federal Trade Commission Act, 15 U.S.C. § 45(a); Standards for Safeguarding Customer Information Rule, 16 C.F.R. Part 314, issued pursuant to Title V of the Gramm-Leach-Bliley Act, 15 U.S.C. § 6801 et seq.","Deborah Platt Majoras, Chairman; Thomas B. Leary; Pamela Jones Harbour; Jon Leibowitz",https://www.ftc.gov/legal-library/browse/cases-proceedings/052-3136-superior-mortgage-corp-matter,"12.05, Superior Mortgage.json",7,11,20.0,Superior Mortgage falsely claimed it encrypted consumer data submitted through its website using SSL while failing to implement required security under the GLB Safeguards Rule.,GLBA,Data Security,Financial Services,Prohibition; Third-Party Assessment; Order Administration; Compliance Monitoring,"{""GLBA"": 7}"
03.06_dsw_inc._in_the_matter_of,C-4157,DSW Inc.,2006-03-15,2006,G.W. Bush,Data Security; Privacy / Deceptive Privacy Practices,unfair,Unfair Data Security Practices,"Section 5(a) of the Federal Trade Commission Act, 15 U.S.C. § 45(a)","Deborah Platt Majoras, Chairman; Pamela Jones Harbour; Jon Leibowitz; William E. Kovacic; J. Thomas Rosch",https://www.ftc.gov/legal-library/browse/cases-proceedings/052-3096-dsw-incin-matter,"03.06, DSW Inc.,In the Matter of.json",7,14,20.0,"DSW failed to implement reasonable security for sensitive payment card and bank account data it collected, leaving it vulnerable to a hacker who accessed information through multiple security gaps.",Section 5 Only,Data Security,Retail,Comprehensive Security Program; Third-Party Assessment; Recordkeeping; Order Administration; Compliance Monitoring,"{""Section 5 Only"": 7}"
06.06_nations_title_agency_nations_holding_company_and_christopher_m._likens.,C-4161,"Nations Title Agency, Inc.",2006-06-15,2006,G.W. Bush,Data Security; Privacy / Deceptive Privacy Practices; Gramm-Leach-Bliley,both,Violations of the Safeguards Rule; Deceptive Security Representations — Violation of Section 5(a) of the FTC Act; Violation of the Privacy Rule — Inaccurate Privacy Notice,"Section 5 of the Federal Trade Commission Act, 15 U.S.C. § 45; Standards for Safeguarding Customer Information Rule, 16 C.F.R. Part 314; Privacy of Customer Financial Information Rule, 16 C.F.R. Part 313","Deborah Platt Majoras, Chairman; Pamela Jones Harbour; Jon Leibowitz; William E. Kovacic; J. Thomas Rosch",https://www.ftc.gov/legal-library/browse/cases-proceedings/052-3117-nations-title-agency-inc-nations-holding-company-christopher-m-likens-matter,"06.06, Nations Title Agency, Nations Holding Company, and Christopher M. Likens..json",10,23,20.0,"Nations Title Agency failed to implement basic security safeguards for consumers' mortgage-related financial data, enabling a hacker breach and violating privacy notice requirements.",GLBA,Data Security,Financial Services,Prohibition; Comprehensive Security Program; Third-Party Assessment; Recordkeeping; Order Administration; Compliance Monitoring,"{""GLBA"": 10}"
